nombre_paciente,correo_paciente,rut,nombre_doctor,fecha,maquina
Erik Burns,robertsmith@randommail.com,03.817.373-1,Dra. Diana,2024-07-11T16:54:24,Rayos X
Kimberly Lutz,pamela64@randommail.com,63.280.933-6,Dra. Diana,2024-07-02T13:16:36,Resonancia Magnética
Brenda Carrillo,dmunoz@randommail.com,13.696.815-7,Dra. Diana,2024-07-20T15:26:59,Rayos X
Brian Gibson,ccole@randommail.com,39.242.308-7,Dr. Pedro,2024-07-19T12:54:21,Rayos X
Steven Cole,rodriguezmichael@randommail.com,37.518.653-5,Dr. Juan,2024-07-06T18:29:23,Topografía TAC
Katherine Williamson,wilsonchelsea@randommail.com,09.217.084-5,Dr. Juan,2024-07-19T14:10:55,Topografía TAC
Matthew Perkins,xvega@randommail.com,60.774.568-4,Dr. Pedro,2024-07-21T15:31:39,Topografía TAC
Maria Burns,banderson@randommail.com,46.270.587-5,Dra. Diana,2024-07-04T09:26:19,Resonancia Magnética
Adam Clarke,nicholas52@randommail.com,71.649.086-6,Dr. Pedro,2024-07-28T11:34:38,Topografía TAC
Scott Davis,xjones@randommail.com,99.368.962-9,Dra. Ignacia,2024-07-10T12:46:00,Rayos X
Tracy Stephens,jennifer16@randommail.com,28.800.182-0,Dra. Ignacia,2024-07-19T09:27:59,Resonancia Magnética
Christopher Klein,jessica07@randommail.com,01.983.789-0,Dra. Diana,2024-07-19T09:08:02,Ecografía
James Smith,allenfrank@randommail.com,20.481.536-4,Dra. Ignacia,2024-07-05T11:55:17,Topografía TAC
Abigail Lewis,kimberlybeltran@randommail.com,05.834.603-9,Dr. Juan,2024-07-05T08:38:19,Rayos X
Richard Small,santosdustin@randommail.com,31.419.006-8,Dr. Pedro,2024-07-11T13:39:48,Resonancia Magnética
Jacob Lee,stephaniewilliams@randommail.com,44.087.762-1,Dr. Pedro,2024-07-22T16:39:57,Resonancia Magnética
Mary Williams,rwatkins@randommail.com,11.603.003-9,Dr. Pedro,2024-07-26T17:11:52,Topografía TAC
Lisa Lara,meredith82@randommail.com,96.088.425-6,Dra. Diana,2024-07-16T13:48:21,Resonancia Magnética
Alexander Harrell,kerry30@randommail.com,13.458.997-3,Dr. Pedro,2024-07-15T10:49:50,Topografía TAC
Jennifer Vincent,montoyajay@randommail.com,61.496.930-K,Dr. Pedro,2024-07-16T14:31:56,Resonancia Magnética
Heather Johnson,kathrynguzman@randommail.com,72.777.619-2,Dr. Juan,2024-07-13T18:55:00,Rayos X
Antonio Butler,uguzman@randommail.com,41.680.905-4,Dra. Ignacia,2024-07-11T09:16:08,Ecografía
Randy Mason,ryanjones@randommail.com,05.045.366-9,Dr. Pedro,2024-07-20T09:30:22,Resonancia Magnética
Carl Howe,susankim@randommail.com,81.064.207-6,Dr. Pedro,2024-07-11T11:28:45,Ecografía
Kimberly Bradley,johncastillo@randommail.com,09.839.350-1,Dr. Pedro,2024-07-07T16:23:44,Rayos X
Donald Porter,davidlee@randommail.com,79.789.742-6,Dr. Juan,2024-07-25T08:05:42,Resonancia Magnética
Kristen Rivera,calvarez@randommail.com,11.367.728-7,Dra. Ignacia,2024-07-18T16:49:19,Resonancia Magnética
Lisa Hogan,usmith@randommail.com,40.503.062-4,Dra. Ignacia,2024-06-30T08:29:24,Topografía TAC
Jamie Mitchell,gonzalesbrittany@randommail.com,84.533.305-K,Dra. Ignacia,2024-07-24T13:55:07,Topografía TAC
Timothy Cruz,william53@randommail.com,44.110.913-K,Dr. Pedro,2024-07-12T16:52:13,Ecografía
Casey Walters,annamontoya@randommail.com,54.076.804-8,Dra. Ignacia,2024-07-04T13:09:57,Rayos X
Nicole Miller,andrewmiller@randommail.com,64.415.502-1,Dra. Diana,2024-07-24T14:02:46,Resonancia Magnética
Crystal Vega,jorgeduncan@randommail.com,83.299.850-8,Dr. Pedro,2024-07-08T14:59:37,Rayos X
Michael Barker,donald99@randommail.com,66.100.575-0,Dra. Diana,2024-07-24T10:17:05,Topografía TAC
Cody Johnson,mary69@randommail.com,02.681.883-4,Dra. Diana,2024-07-15T15:31:45,Rayos X
Sean Adams,ksweeney@randommail.com,48.822.380-1,Dra. Ignacia,2024-07-17T13:58:55,Resonancia Magnética
Karen Howard,smiththomas@randommail.com,19.384.991-1,Dra. Diana,2024-07-13T15:54:18,Resonancia Magnética
Anthony Wilson,mstuart@randommail.com,78.188.069-8,Dr. Juan,2024-07-16T09:10:02,Rayos X
Amanda Holland,joseph12@randommail.com,72.399.844-1,Dr. Pedro,2024-07-16T14:23:40,Resonancia Magnética
Emma Jones,valencianathan@randommail.com,96.411.918-K,Dra. Ignacia,2024-07-15T09:44:58,Topografía TAC
Abigail Martinez,trevinomonique@randommail.com,82.297.336-1,Dr. Pedro,2024-07-09T13:13:08,Topografía TAC
Christine Jones,naustin@randommail.com,91.345.935-0,Dr. Pedro,2024-07-24T18:05:18,Rayos X
Steven Mason,olsencraig@randommail.com,53.663.299-9,Dr. Pedro,2024-06-29T17:20:32,Resonancia Magnética
Jodi Roberts,sanchezjennifer@randommail.com,05.206.031-1,Dr. Pedro,2024-07-16T13:06:43,Resonancia Magnética
Lisa Greer,justin57@randommail.com,17.123.536-7,Dra. Ignacia,2024-06-29T08:52:08,Rayos X
Michelle Howell,williamsbeverly@randommail.com,40.464.223-5,Dra. Diana,2024-07-23T14:59:14,Resonancia Magnética
Joshua Strickland,connie62@randommail.com,89.079.580-3,Dr. Pedro,2024-07-11T10:36:38,Rayos X
William Watkins,smithemily@randommail.com,25.652.896-7,Dra. Diana,2024-07-18T09:29:43,Resonancia Magnética
Justin Cowan,charlesbell@randommail.com,44.793.417-5,Dr. Juan,2024-07-14T16:00:40,Rayos X
Isaac Murphy,wesleyjohnson@randommail.com,03.571.465-0,Dra. Ignacia,2024-06-29T14:59:24,Rayos X
Juan Lin,taylorpeter@randommail.com,97.286.550-8,Dra. Ignacia,2024-07-26T12:01:37,Rayos X
Julie Edwards,mereditharmstrong@randommail.com,62.952.927-6,Dr. Pedro,2024-07-09T18:52:02,Rayos X
James Myers,taylornicole@randommail.com,13.747.784-K,Dra. Diana,2024-07-08T11:18:39,Rayos X
Dr. William Gomez,mcculloughkelly@randommail.com,70.453.728-K,Dra. Ignacia,2024-06-30T09:51:21,Topografía TAC
Jonathan Jones,smithhannah@randommail.com,73.980.041-2,Dra. Diana,2024-07-23T16:01:00,Rayos X
Darlene Li,pdavis@randommail.com,68.444.031-4,Dr. Juan,2024-07-19T13:43:04,Topografía TAC
Annette Anderson,omartinez@randommail.com,61.333.734-2,Dr. Juan,2024-07-08T08:59:06,Topografía TAC
James Nixon,victor46@randommail.com,76.079.743-K,Dr. Pedro,2024-07-02T09:14:37,Topografía TAC
Luke Johnson,matthew69@randommail.com,33.428.799-8,Dra. Ignacia,2024-07-24T12:06:45,Ecografía
Russell Edwards,pauljoel@randommail.com,79.262.444-8,Dra. Ignacia,2024-07-01T15:33:49,Ecografía
Katie Andrews,igray@randommail.com,13.765.776-7,Dr. Juan,2024-07-25T15:07:42,Ecografía
Michelle Ward,howardmelvin@randommail.com,11.080.246-3,Dr. Pedro,2024-07-08T09:06:11,Ecografía
Carolyn Yang,lopezbenjamin@randommail.com,99.592.834-5,Dra. Ignacia,2024-07-01T12:07:26,Ecografía
Cassandra Moss,dsmith@randommail.com,15.342.017-3,Dra. Ignacia,2024-07-03T11:30:45,Ecografía
Tammy Lowery,esmith@randommail.com,02.919.329-0,Dr. Pedro,2024-07-24T15:39:31,Rayos X
Michael Allen,nicole04@randommail.com,27.623.025-5,Dr. Juan,2024-07-09T12:42:38,Resonancia Magnética
William Collins,derek55@randommail.com,62.420.442-5,Dr. Pedro,2024-07-04T11:53:49,Resonancia Magnética
Mrs. Heather Anderson DDS,elizabeth04@randommail.com,71.352.358-5,Dr. Pedro,2024-07-13T14:15:32,Ecografía
Andrew Freeman,robert93@randommail.com,72.169.903-K,Dra. Ignacia,2024-07-10T08:07:47,Ecografía
Kyle Delgado,richardsonsarah@randommail.com,68.811.943-K,Dr. Juan,2024-07-12T14:26:40,Topografía TAC
Debra Strong,bbutler@randommail.com,88.926.763-1,Dra. Diana,2024-07-26T17:08:45,Resonancia Magnética
Ethan Hall,copelandphillip@randommail.com,82.636.624-9,Dr. Pedro,2024-07-01T17:40:39,Resonancia Magnética
Karen Bennett,huangsamantha@randommail.com,58.966.787-5,Dra. Diana,2024-07-17T10:30:36,Resonancia Magnética
Kayla Ortiz,bassscott@randommail.com,49.810.597-1,Dra. Diana,2024-07-10T17:32:20,Ecografía
Alicia Williams,jasonwilson@randommail.com,67.894.480-7,Dr. Pedro,2024-07-02T08:53:30,Topografía TAC
William Banks,erikabarr@randommail.com,55.551.884-6,Dr. Juan,2024-07-12T12:25:57,Ecografía
Timothy Brown,daniel47@randommail.com,85.188.141-7,Dr. Pedro,2024-06-30T10:09:10,Resonancia Magnética
Michaela Dominguez,marcus48@randommail.com,26.050.092-9,Dr. Pedro,2024-07-01T17:48:51,Resonancia Magnética
Mary Joyce,fernandezkenneth@randommail.com,20.350.325-3,Dr. Juan,2024-07-22T15:39:04,Resonancia Magnética
Suzanne Browning,jessica40@randommail.com,73.793.882-4,Dr. Pedro,2024-07-14T08:07:36,Topografía TAC
Christine Daniel,simondavid@randommail.com,93.585.777-5,Dra. Ignacia,2024-07-10T17:48:15,Rayos X
Timothy Edwards,ianward@randommail.com,98.140.078-K,Dr. Pedro,2024-07-04T08:00:11,Rayos X
Samantha Smith,stephaniehodges@randommail.com,13.529.406-3,Dr. Pedro,2024-07-08T18:53:16,Ecografía
Jean Ortega,emily78@randommail.com,79.097.581-2,Dra. Diana,2024-07-25T14:08:00,Resonancia Magnética
Jessica Gallegos,ehunt@randommail.com,33.971.657-9,Dr. Pedro,2024-07-22T14:06:38,Resonancia Magnética
Cassidy Gutierrez,melissa84@randommail.com,24.656.969-K,Dr. Juan,2024-07-27T09:13:11,Resonancia Magnética
Michelle Buchanan,danielsdana@randommail.com,07.278.205-4,Dr. Juan,2024-07-23T15:45:23,Ecografía
Victoria Richards,mcurtis@randommail.com,25.467.396-K,Dra. Diana,2024-07-28T09:16:35,Ecografía
Kimberly Kim,masonvincent@randommail.com,90.992.660-2,Dra. Diana,2024-07-20T14:15:54,Resonancia Magnética
Tammy Guzman,comptonfrances@randommail.com,09.536.181-1,Dra. Diana,2024-07-28T16:50:16,Topografía TAC
Ronald Johnson,michael15@randommail.com,71.704.077-5,Dr. Pedro,2024-07-16T12:41:59,Ecografía
Mrs. Kelsey Mcdonald,ashley38@randommail.com,75.669.764-1,Dr. Pedro,2024-07-11T13:35:12,Topografía TAC
Melissa Chambers,mariahall@randommail.com,80.921.399-4,Dr. Pedro,2024-07-19T14:35:21,Ecografía
Karen Bryant,gcruz@randommail.com,58.523.337-4,Dr. Juan,2024-07-19T16:19:20,Resonancia Magnética
Christopher Robinson,bjohnson@randommail.com,25.694.712-9,Dra. Ignacia,2024-07-22T10:39:10,Ecografía
Joshua Young,nelsonjoseph@randommail.com,52.991.439-3,Dra. Ignacia,2024-07-28T17:54:24,Rayos X
Amanda Stewart,katherine52@randommail.com,73.438.539-5,Dr. Pedro,2024-07-11T11:49:17,Resonancia Magnética
Ashley Martinez,kyle44@randommail.com,16.822.761-2,Dr. Pedro,2024-06-29T11:54:01,Rayos X
Brian Page Jr.,ljones@randommail.com,05.841.724-6,Dra. Ignacia,2024-07-26T15:21:03,Rayos X
Evelyn Todd,tracey10@randommail.com,25.439.854-3,Dr. Pedro,2024-07-22T08:18:04,Ecografía
Lance Smith,michael54@randommail.com,78.535.904-6,Dr. Juan,2024-07-15T08:05:56,Ecografía
Lisa Mckinney,lewismathew@randommail.com,11.072.781-K,Dra. Diana,2024-07-04T17:30:13,Rayos X
David Martinez,smithrobert@randommail.com,73.771.295-8,Dr. Pedro,2024-07-21T08:36:12,Ecografía
Lindsay Cruz,john46@randommail.com,42.455.196-1,Dr. Juan,2024-07-28T18:47:58,Ecografía
Kaylee Archer,arodriguez@randommail.com,25.585.680-4,Dra. Ignacia,2024-06-30T17:36:32,Ecografía
Mr. Robert Davis Jr.,gcunningham@randommail.com,90.281.177-K,Dr. Pedro,2024-07-04T14:54:47,Ecografía
Stephanie Adams,tmann@randommail.com,95.751.661-0,Dra. Ignacia,2024-07-26T08:48:08,Rayos X
Darrell Shepard,ramirezbrooke@randommail.com,62.325.848-3,Dr. Juan,2024-07-01T12:56:49,Resonancia Magnética
Annette Bryant,christophermendez@randommail.com,07.158.483-6,Dra. Diana,2024-07-11T09:03:23,Rayos X
Vanessa Palmer,brian89@randommail.com,80.186.504-6,Dra. Diana,2024-07-03T14:32:20,Resonancia Magnética
Charlotte Stone,paul79@randommail.com,21.253.146-4,Dr. Juan,2024-07-16T14:12:20,Rayos X
Anthony Wilson,adrian79@randommail.com,08.156.030-7,Dra. Ignacia,2024-07-23T16:12:15,Resonancia Magnética
Andrew Martin,ryan11@randommail.com,82.902.290-7,Dr. Pedro,2024-07-22T16:58:46,Ecografía
Brandi Zavala,frostjames@randommail.com,66.892.933-8,Dr. Juan,2024-07-03T13:59:58,Topografía TAC
Samuel Torres,maryhall@randommail.com,19.113.311-0,Dr. Pedro,2024-07-04T15:15:38,Resonancia Magnética
Michelle Anderson MD,madelinejones@randommail.com,87.085.023-9,Dr. Pedro,2024-07-17T15:12:55,Topografía TAC
Kristin Park,benjamindunn@randommail.com,42.092.696-0,Dra. Ignacia,2024-07-05T18:01:25,Ecografía
Kendra Hernandez,silvajames@randommail.com,87.745.050-3,Dr. Juan,2024-07-18T11:21:30,Topografía TAC
Kenneth Yang,aaron77@randommail.com,38.638.427-4,Dr. Juan,2024-07-23T15:08:34,Rayos X
Lauren Bernard,nicolemartin@randommail.com,02.785.727-2,Dra. Ignacia,2024-07-08T15:15:32,Rayos X
Brittany Yang,jesusnelson@randommail.com,92.952.646-5,Dr. Pedro,2024-07-08T11:12:36,Resonancia Magnética
Kenneth Pena,tanyamoon@randommail.com,38.324.011-5,Dr. Pedro,2024-07-10T10:51:25,Resonancia Magnética
Jennifer Chambers,elizabeth19@randommail.com,68.924.482-3,Dra. Ignacia,2024-07-23T18:55:01,Topografía TAC
Kathleen Martin,carolinephillips@randommail.com,38.488.911-5,Dra. Diana,2024-07-24T08:15:25,Topografía TAC
Dylan Harris,angelamartinez@randommail.com,35.041.179-8,Dra. Diana,2024-07-24T15:44:32,Rayos X
George Sharp,karencunningham@randommail.com,03.531.075-4,Dra. Ignacia,2024-06-30T11:50:49,Rayos X
Lynn Wheeler,silvapaul@randommail.com,35.242.584-2,Dr. Pedro,2024-06-29T15:25:41,Rayos X
Denise Ward,william49@randommail.com,92.237.343-4,Dr. Juan,2024-07-21T17:06:47,Topografía TAC
Kevin Leonard,lori72@randommail.com,47.910.135-3,Dra. Ignacia,2024-07-02T11:19:19,Rayos X
Samantha Tran,heather87@randommail.com,09.380.334-5,Dra. Ignacia,2024-07-16T09:44:51,Topografía TAC
Lacey Martin,hwelch@randommail.com,19.436.925-5,Dr. Juan,2024-07-11T09:32:49,Rayos X
Barbara Lowe,courtneydavid@randommail.com,82.876.285-0,Dra. Diana,2024-07-28T15:36:43,Rayos X
Leah Decker,robinpage@randommail.com,47.254.771-2,Dr. Juan,2024-07-24T16:43:12,Resonancia Magnética
James Lee,xharris@randommail.com,16.838.419-K,Dra. Diana,2024-07-05T17:16:43,Resonancia Magnética
Kayla Long,froberson@randommail.com,33.551.847-0,Dr. Pedro,2024-07-16T17:48:17,Ecografía
Miss Kelly Jones,jacob51@randommail.com,38.349.869-4,Dra. Ignacia,2024-07-10T10:37:59,Resonancia Magnética
Isaac Melendez,morenodavid@randommail.com,85.723.276-3,Dra. Diana,2024-07-07T17:12:24,Resonancia Magnética
Wendy Wagner,grichards@randommail.com,65.849.325-6,Dr. Pedro,2024-07-19T18:15:39,Topografía TAC
Marissa Sims,creyes@randommail.com,11.303.771-7,Dr. Pedro,2024-07-22T10:04:17,Rayos X
